property_name,location,bedrooms,bathrooms,price,size,price_per_sqm
2-BEDROOM APARTMENT,Al Ansab,2,2.0,300.0,120.0,2.5
2-BEDROOM APARTMENT,Shatti Al Qurum,2,2.0,500.0,120.0,4.166666666666667
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,5.0,1500.0,120.0,12.5
COMMERCIAL SHOP,Ghala,2,,370.0,39.0,9.487179487179487
COMMERCIAL OFFICE SPACE,Bausher,2,2.0,4.0,120.0,0.03333333333333333
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,3,3.0,650.0,120.0,5.416666666666667
COMMERCIAL SPACE,Shatti Al Qurum,2,,6.0,120.0,0.05
6+1 BEDROOM TWIN VILLA,Bausher,7,7.0,1000.0,120.0,8.333333333333334
5+1 BEDROOM TWIN VILLA,Al Ansab,7,7.0,750.0,120.0,6.25
RETAIL SPACES,Al Khuwair,2,,7.0,120.0,0.058333333333333334
Showroom- Fitted for Medical or Healthcare Use,,2,,7.0,120.0,0.058333333333333334
COMMERCIAL SPACE,Azaiba,2,,2200.0,120.0,18.333333333333332
2-BEDROOM APARTMENT,Maabelah,2,,180.0,120.0,1.5
3-BEDROOM APARTMENT,Al Khuwair,4,4.0,280.0,120.0,2.3333333333333335
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,1,1.0,250.0,120.0,2.0833333333333335
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,5.0,800.0,120.0,6.666666666666667
4-BEDROOM TWIN VILLA,,4,4.0,700.0,120.0,5.833333333333333
4-BEDROOM VILLA,,3,3.0,600.0,120.0,5.0
3-BEDROOM APARTMENT,Darsait,3,3.0,400.0,120.0,3.3333333333333335
2+1 BEDROOM APARTMENT,Al Ghoubrah,2,2.0,550.0,120.0,4.583333333333333
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),7,7.0,1800.0,120.0,15.0
7-BEDROOM TWIN VILLA,Al Mawaleh,8,8.0,675.0,120.0,5.625
5-BEDROOM COMPOUND VILLA,Madinat Al llam,4,4.0,900.0,120.0,7.5
OFFICE SPACE,Muscat Hills,2,,6.0,51.63,0.11621150493898895
3-BEDROOM TOWNHOUSE,The Wave Muscat,4,4.0,1100.0,120.0,9.166666666666666
5-BEDROOM DETACHED VILLA,Muscat Hills,6,6.0,2500.0,120.0,20.833333333333332
5-BEDROOM TWIN VILLA,Al Ansab,7,7.0,700.0,120.0,5.833333333333333
2-BEDROOM APARTMENT,Al Ghoubrah,2,2.0,600.0,120.0,5.0
2-BEDROOM APARTMENT,Muscat Hills,3,3.0,450.0,120.0,3.75
2-BEDROOM APARTMENT,Al Mawaleh,2,2.0,275.0,120.0,2.2916666666666665
4-BEDROOM TWIN VILLA,Al Mawaleh,5,5.0,560.0,120.0,4.666666666666667
3-BEDROOM TWIN VILLA,Al Mawaleh,5,5.0,560.0,120.0,4.666666666666667
1-BEDROOM APARTMENT,Muscat Hills,2,2.0,375.0,120.0,3.125
6+2 BEDROOM STANDALONE VILLA,Qurum,7,7.0,1300.0,1255.0,1.0358565737051793
6-BEDROOM APARTMENT,Al Khuwair,6,6.0,550.0,120.0,4.583333333333333
4+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,4,4.0,700.0,120.0,5.833333333333333
4+1 TWIN VILLA,Shatti Al Qurum,5,5.0,1000.0,120.0,8.333333333333334
4-BEDROOM TOWNHOUSE,Al Hail,3,3.0,450.0,120.0,3.75
3+1 TOWNHOUSE,Maabelah,5,5.0,600.0,120.0,5.0
2-BEDROOM TOWNHOUSE,Al Ansab,2,,650.0,200.0,3.25
2-BEDROOM APARTMENT,Al Ansab,2,2.0,400.0,120.0,3.3333333333333335
6-BEDROOM TWIN VILLA,Shatti Al Qurum,6,6.0,700.0,120.0,5.833333333333333
6 BEDROOM DETACHED VILLA,Madinat Al llam,6,6.0,850.0,120.0,7.083333333333333
4 BEDROOM TWIN-VILLA,Al Mawaleh,5,5.0,700.0,120.0,5.833333333333333
Office Space,Bausher,2,,400.0,55.0,7.2727272727272725
2 + 1 FULLY FURNISHED APARTMENT,Qurum,2,2.0,500.0,120.0,4.166666666666667
5 BEDROOM TOWNHOUSE,Qurum,6,6.0,850.0,120.0,7.083333333333333
5 BEDROOM TOWNHOUSE,Qurum,6,6.0,950.0,120.0,7.916666666666667
2 BEDROOM APARTMENT,Shatti Al Qurum,2,2.0,450.0,120.0,3.75
3 BEDROOM APARTMENT,Azaiba,3,3.0,330.0,120.0,2.75
1 & 2 BEDROOM APARTMENT,Azaiba,2,2.0,280.0,120.0,2.3333333333333335
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,4,4.0,400.0,300.0,1.3333333333333333
COMMERCIAL OFFICE SPACE IN (BAUSHER),Bausher,2,,1600.0,415.0,3.855421686746988
3 BEDROOM APARTMENT IN (DARSIT),Darsait,3,3.0,450.0,120.0,3.75
