property_name,location,bedrooms,bathrooms,price,size
2-BEDROOM APARTMENT,Al Ansab,2,2,300,120.0
2-BEDROOM APARTMENT,Shatti Al Qurum,2,2,500,120.0
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,5,1500,120.0
COMMERCIAL SHOP,Ghala,2,,370,39.0
COMMERCIAL OFFICE SPACE,Bausher,2,2,4,120.0
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,3,3,650,120.0
COMMERCIAL SPACE,Shatti Al Qurum,2,,6,120.0
6+1 BEDROOM TWIN VILLA,Bausher,7,7,1000,120.0
5+1 BEDROOM TWIN VILLA,Al Ansab,7,7,750,120.0
RETAIL SPACES,Al Khuwair,2,,7,120.0
Showroom- Fitted for Medical or Healthcare Use,nan,2,,7,120.0
COMMERCIAL SPACE,Azaiba,2,,2200,120.0
2-BEDROOM APARTMENT,Maabelah,2,,180,120.0
3-BEDROOM APARTMENT,Al Khuwair,4,4,280,120.0
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,1,1,250,120.0
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,5,800,120.0
4-BEDROOM TWIN VILLA,nan,4,4,700,120.0
4-BEDROOM VILLA,nan,3,3,600,120.0
3-BEDROOM APARTMENT,Darsait,3,3,400,120.0
2+1 BEDROOM APARTMENT,Al Ghoubrah,2,2,550,120.0
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),7,7,1800,120.0
7-BEDROOM TWIN VILLA,Al Mawaleh,8,8,675,120.0
5-BEDROOM COMPOUND VILLA,Madinat Al llam,4,4,900,120.0
OFFICE SPACE,Muscat Hills,2,,6,51.63
3-BEDROOM TOWNHOUSE,The Wave Muscat,4,4,1100,120.0
5-BEDROOM DETACHED VILLA,Muscat Hills,6,6,2500,120.0
5-BEDROOM TWIN VILLA,Al Ansab,7,7,700,120.0
2-BEDROOM APARTMENT,Al Ghoubrah,2,2,600,120.0
2-BEDROOM APARTMENT,Muscat Hills,3,3,450,120.0
2-BEDROOM APARTMENT,Al Mawaleh,2,2,275,120.0
4-BEDROOM TWIN VILLA,Al Mawaleh,5,5,560,120.0
3-BEDROOM TWIN VILLA,Al Mawaleh,5,5,560,120.0
1-BEDROOM APARTMENT,Muscat Hills,2,2,375,120.0
6+2 BEDROOM STANDALONE VILLA,Qurum,7,7,1300,1255.0
6-BEDROOM APARTMENT,Al Khuwair,6,6,550,120.0
4+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,4,4,700,120.0
4+1 TWIN VILLA,Shatti Al Qurum,5,5,1000,120.0
4-BEDROOM TOWNHOUSE,Al Hail,3,3,450,120.0
3+1 TOWNHOUSE,Maabelah,5,5,600,120.0
2-BEDROOM TOWNHOUSE,Al Ansab,2,,650,200.0
2-BEDROOM APARTMENT,Al Ansab,2,2,400,120.0
6-BEDROOM TWIN VILLA,Shatti Al Qurum,6,6,700,120.0
6 BEDROOM DETACHED VILLA,Madinat Al llam,6,6,850,120.0
4 BEDROOM TWIN-VILLA,Al Mawaleh,5,5,700,120.0
Office Space,Bausher,2,,400,55.0
2 + 1 FULLY FURNISHED APARTMENT,Qurum,2,2,500,120.0
5 BEDROOM TOWNHOUSE,Qurum,6,6,850,120.0
5 BEDROOM TOWNHOUSE,Qurum,6,6,950,120.0
2 BEDROOM APARTMENT,Shatti Al Qurum,2,2,450,120.0
3 BEDROOM APARTMENT,Azaiba,3,3,330,120.0
1 & 2 BEDROOM APARTMENT,Azaiba,2,2,280,120.0
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,4,4,400,300.0
COMMERCIAL OFFICE SPACE IN (BAUSHER),Bausher,2,,1600,415.0
3 BEDROOM APARTMENT IN (DARSIT),Darsait,3,3,450,120.0
2 BEDROOM APARTMENT IN (DARSIT),Darsait,2,2,400,120.0
3+1 BEDROOM TOWNHOUSE IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),3,3,650,120.0
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,3,3,475,120.0
3 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,4,4,360,120.0
2 BEDROOM APARTMENT IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),2,2,300,150.0
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,3,550,120.0
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,3,450,120.0
3 BEDROOM TOWNHOUSE,Qurum,4,4,650,120.0
5+1 BEDROOM VILLA IN ( QURUM),Qurum,5,5,2500,120.0
3+1 BEDROOM VILLA IN ( SHATTI QURUM),Shatti Al Qurum,4,4,2500,120.0
