property_name,price,location,area,bathrooms,beds
MADINAT AL ILAM | EXCELLENT 4+1 BR TOWNHOUSE,OMR 650,"Madinat As Sultan Qaboos, Muscat•",300 SQM,6,4
AL KHUWAIR | WELL MAINTAINED 2 BHK FLAT,OMR 280,"Al Khuwair, Muscat•",105 SQM,2,2
Elegant 4 BHK Villa for rent @ Qurum,OMR 650,"Qurum, Muscat•",300 SQM,5,4
ANSAB | 8 BEDROOM VILLA,OMR 400,"Ansab, Muscat•",300 SQM,9,8
ADV905*4BHK Villa for rent in Madinat Illam in a complex,OMR 750,"Qurum, Muscat•",300 SQM,4,4
ADV906**4BHK Villa in a comples in shatti qurum,"OMR 1,900","Qurum, Muscat•",300 SQM,4,4
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,"OMR 2,310","Azaiba, Muscat•",440 SQM,Not specified,Not specified
*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,OMR 650,"Bosher, Muscat•",350 SQM,4,3
4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,OMR 750,"Azaiba, Muscat•",439 SQM,5,4
MADINAT AL ILAM | EXCELLENT 4+1 BR TOWNHOUSE,OMR 650,"Madinat As Sultan Qaboos, Muscat•",300 SQM,6,4
AL KHUWAIR | WELL MAINTAINED 2 BHK FLAT,OMR 280,"Al Khuwair, Muscat•",105 SQM,2,2
Elegant 4 BHK Villa for rent @ Qurum,OMR 650,"Qurum, Muscat•",300 SQM,5,4
ANSAB | 8 BEDROOM VILLA,OMR 400,"Ansab, Muscat•",300 SQM,9,8
ADV905*4BHK Villa for rent in Madinat Illam in a complex,OMR 750,"Qurum, Muscat•",300 SQM,4,4
ADV906**4BHK Villa in a comples in shatti qurum,"OMR 1,900","Qurum, Muscat•",300 SQM,4,4
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,"OMR 2,310","Azaiba, Muscat•",440 SQM,Not specified,Not specified
*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,OMR 650,"Bosher, Muscat•",350 SQM,4,3
4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,OMR 750,"Azaiba, Muscat•",439 SQM,5,4
2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,OMR 430,"Muscat Hills, Muscat•",119 SQM,2,2
"2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities","OMR 1,250","The Wave (Almouj), Muscat•",109 SQM,3,2
2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,OMR 525,"Qurum, Muscat•",119 SQM,3,2
1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,OMR 400,"Qurum, Muscat•",89 SQM,2,1
54 SQM Office for Rent in Muscat Hills,OMR 297,"Muscat Hills, Muscat•",54 SQM,Not specified,Not specified
31.87 S	QM Shop in Azaiba – Commercial Use – Excellent Location,OMR 480,"Azaiba, Muscat•",31.87 SQM,Not specified,Not specified
BOSHER | BRAND NEW 3+1 BR TOWNHOUSES,OMR 850,"Bosher, Muscat•",300 SQM,4,3
QURUM | SPACIOUS 6 BR COMPOUND VILLA,"OMR 1,000","Qurum, Muscat•",300 SQM,5,6
QURUM | 6 BR COMPOUND VILLA,OMR 650,"Qurum, Muscat•",300 SQM,6,6
محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,OMR 160,"Al Khoud, Muscat•",16 SQM,Not specified,Not specified
فيلا راقية جديدة للايجار في المعبيلة  villa for rent,OMR 500,"Al Maabilah, Muscat•",408 SQM,7,6
shop for rent in seeb souq,OMR 100,"Al Seeb, Muscat•",25 SQM,Not specified,Not specified
2bhk in darsait free wifi (B1577),OMR 160,"Darsait, Muscat•",95 SQM,2,2
2bhk flat in almumtaz free wifi (B3434),OMR 220,"Ruwi, Muscat•",100 SQM,2,2
SR-HK-595 Fully furnished Townhouse for rent in Almouj .,OMR 800,"The Wave (Almouj), Muscat•",200 SQM,3,2
محلات للايجار في العامرات,OMR 280,"Al Amarat, Muscat•",48 SQM,Not specified,Not specified
MADINAT QABOOS | MODERN 3 BR APARTMENT,OMR 800,"Madinat As Sultan Qaboos, Muscat•",125 SQM,2,3
MADINAT SULTAN QABOOS | BEAUTIFUL 1 BR APARTMENT,OMR 500,"Madinat As Sultan Qaboos, Muscat•",85 SQM,2,1
"Branded Residence, spacious apartment with Golf Course View","OMR 2,500","The Wave (Almouj), Muscat•",264 SQM,5,3
ADC803**145sqm  Offices for rent in Ghubra north,OMR 725,"Al Ghubrah, Muscat•",145 SQM,Not specified,Not specified
ADA602** 2 Bedrooms apartments for rent in Khuwair,OMR 350,"Al Khuwair, Muscat•",110 SQM,3,2
ADV407**5BHK brand new villa in a complex in al hail south,OMR 550Negotiable,"Al Hail, Muscat•",325 SQM,6,5
ADC701***Shop for Rent in New Commercial Building – 150 SQM,"OMR 1,250","Bosher, Muscat•",150 SQM,Not specified,Not specified
Studio room near Al Mouj free wifi,OMR 150,"The Wave (Almouj), Muscat•",45 SQM,1,1
VILLA FOR RENT NEAR CROWNE PLAZA 4 BEDROOMS,"OMR 3,000","Qurum, Muscat•","1,436 SQM",6,4
محلات للايجار في موقع مميز بالموالح 11 shop for rent in Al Mawaleh 11,OMR 200,"Al Mawaleh, Muscat•",29.6 SQM,Not specified,Not specified
