Title,Location,Bedrooms,Bathrooms,Price,Size,Listing_Type
2-BEDROOM APARTMENT,Al Ansab,2,2,300,N/A,For Rent
2-BEDROOM APARTMENT,Shatti Al Qurum,2,2,500,N/A,For Rent
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,5,1500,N/A,For Rent
COMMERCIAL SHOP,Ghala,N/A,N/A,370,39,For Rent
COMMERCIAL OFFICE SPACE,Bausher,N/A,2,4,N/A,For Rent
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,"2,3,4",3,650,N/A,For Rent
COMMERCIAL SPACE,Shatti Al Qurum,N/A,N/A,6,N/A,For Rent
6+1 BEDROOM TWIN VILLA,Bausher,6,7,1000,N/A,For Rent
5+1 BEDROOM TWIN VILLA,Al Ansab,5,7,750,N/A,For Rent
RETAIL SPACES,Al Khuwair,N/A,N/A,7,N/A,For Rent
Showroom- Fitted for Medical or Healthcare Use,N/A,10,N/A,7,N/A,For Rent
COMMERCIAL SPACE,Azaiba,N/A,N/A,2200,N/A,For Rent
2-BEDROOM APARTMENT,Maabelah,2,N/A,180,N/A,For Rent
3-BEDROOM APARTMENT,Al Khuwair,3,4,280,N/A,For Rent
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,1,1,250,N/A,For Rent
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,5,800,N/A,For Rent
4-BEDROOM TWIN VILLA,N/A,4,4,700,N/A,For Rent
4-BEDROOM VILLA,N/A,4,3,600,N/A,For Rent
3-BEDROOM APARTMENT,Darsait,3,3,400,N/A,For Rent
2+1 BEDROOM APARTMENT,Al Ghoubrah,2,2,550,N/A,For Rent
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,7,1800,N/A,For Rent
7-BEDROOM TWIN VILLA,Al Mawaleh,7,8,675,N/A,For Rent
5-BEDROOM COMPOUND VILLA,Madinat Al llam,5,4,900,N/A,For Rent
OFFICE SPACE,Muscat Hills,N/A,N/A,6,51.63,For Rent
3-BEDROOM TOWNHOUSE,The Wave Muscat,3,4,1100,N/A,For Rent
5-BEDROOM DETACHED VILLA,Muscat Hills,5,6,2500,N/A,For Rent
5-BEDROOM TWIN VILLA,Al Ansab,5,7,700,N/A,"For Rent, For Sale"
2-BEDROOM APARTMENT,Al Ghoubrah,2,2,600,N/A,For Rent
2-BEDROOM APARTMENT,Muscat Hills,2,3,450,N/A,For Rent
2-BEDROOM APARTMENT,Al Mawaleh,2,2,275,N/A,For Rent
4-BEDROOM TWIN VILLA,Al Mawaleh,4,5,560,N/A,For Rent
3-BEDROOM TWIN VILLA,Al Mawaleh,3,5,560,N/A,For Rent
1-BEDROOM APARTMENT,Muscat Hills,1,2,375,N/A,For Rent
6+2 BEDROOM STANDALONE VILLA,Qurum,6,7,1300,1255,For Rent
6-BEDROOM APARTMENT,Al Khuwair,6,6,550,N/A,For Rent
4+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,4,4,700,N/A,For Rent
4+1 TWIN VILLA,Shatti Al Qurum,4,5,1000,N/A,"For Rent, For Sale"
4-BEDROOM TOWNHOUSE,Al Hail,4,3,450,N/A,For Rent
3+1 TOWNHOUSE,Maabelah,4,5,600,N/A,For Rent
2-BEDROOM TOWNHOUSE,Al Ansab,N/A,N/A,650,200,For Rent
2-BEDROOM APARTMENT,Al Ansab,2,2,400,N/A,For Rent
6-BEDROOM TWIN VILLA,Shatti Al Qurum,6,6,700,N/A,For Rent
6 BEDROOM DETACHED VILLA,Madinat Al llam,6,6,850,N/A,For Rent
4 BEDROOM TWIN-VILLA,Al Mawaleh,4,5,700,N/A,For Rent
Office Space,Bausher,N/A,N/A,400,55,For Rent
2 + 1 FULLY FURNISHED APARTMENT,Qurum,2,2,500,N/A,For Rent
5 BEDROOM TOWNHOUSE,Qurum,5,6,850,N/A,For Rent
5 BEDROOM TOWNHOUSE,Qurum,5,6,950,N/A,For Rent
2 BEDROOM APARTMENT,Shatti Al Qurum,2,2,450,N/A,For Rent
3 BEDROOM APARTMENT,Azaiba,3,3,330,N/A,For Rent
1 & 2 BEDROOM APARTMENT,Azaiba,2,2,280,N/A,For Rent
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,3,4,400,300,For Rent
COMMERCIAL OFFICE SPACE IN (BAUSHER),Bausher,N/A,N/A,1600,415,For Rent
3 BEDROOM APARTMENT IN (DARSIT),Darsait,3,3,450,N/A,For Rent
2 BEDROOM APARTMENT IN (DARSIT),Darsait,2,2,400,N/A,For Rent
3+1 BEDROOM TOWNHOUSE IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),3,3,650,N/A,For Rent
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,2,3,475,N/A,For Rent
3 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,3,4,360,N/A,For Rent
2 BEDROOM APARTMENT IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),2,2,300,150,For Rent
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,3,550,N/A,For Rent
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,3,450,N/A,For Rent
3 BEDROOM TOWNHOUSE,Qurum,3,4,650,N/A,For Rent
5+1 BEDROOM VILLA IN ( QURUM),Qurum,5,5,2500,N/A,For Rent
3+1 BEDROOM VILLA IN ( SHATTI QURUM),Shatti Al Qurum,3,4,2500,N/A,For Rent
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,3,4,1000,N/A,For Rent
